created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Mar 27 23:04:33 +0000 2023,1640490015125024768,"Piala Dunia U-20 Terancam Batal, Asprov PSSI Bali: Semuanya Bisa Hancur Berantakan https://t.co/ZBuG1diWhw",9,24,7,24,in,71436318,1640490015125024768,KompasTV,https://twitter.com/KompasTV/status/1640490015125024768
Mon Mar 27 22:58:34 +0000 2023,1640488511877857282,"Sebelumnya I Wayan Koster merupakan salah satu tokoh yang menyurati Kemenpora dan keberatan terkait Israel yang masuk dalam Piala Dunia U 20 2023.  #PenolakanIsrael #PialaDuniaU20 #Israel #IWayanKoster #GubernurBali #Bali https://t.co/FVkLECF5CH",0,0,0,0,in,1315563908170608641,1640488511877857282,Portal_PWT,https://twitter.com/Portal_PWT/status/1640488511877857282
Mon Mar 27 22:58:15 +0000 2023,1640488432437805057,"Memberikan izin kepada Israel 🇮🇱 untuk ikut serta dalam perhelatan Piala Dunia U-20 di Indonesia 🇮🇩, itu sama saja menghianati konstitusi kita seperti yg tercantum dlm UUD 1945, cita² luhur bangsa kita, dan juga komitmen pendiri bangsa kita (Ir.Soekarno) #FreePalestine2023 https://t.co/h1bpxRwFlc",0,0,0,1,in,1501234571530031107,1640488432437805057,MoehammadRa,https://twitter.com/MoehammadRa/status/1640488432437805057
Mon Mar 27 22:58:04 +0000 2023,1640488387210539008,"Gubernur Koster 'Cuci Tangan' Usai FIFA Batalkan Drawing Piala Dunia U-20 di Bali: 'Jangan Tanya Saya!' https://t.co/CCR6UVOe2j",0,0,0,0,in,1225432911899324419,1640488387210539008,RepelitaO,https://twitter.com/RepelitaO/status/1640488387210539008
Mon Mar 27 22:55:34 +0000 2023,1640487755498270720,"Indonesia tengah mencari solusi terkait penolakan yang meluas terhadap keikutsertaan tim nasional Israel dalam Piala Dunia U-20 yang akan diselenggarakan di Indonesia. Pelaksana tugas Menteri Pemuda dan Olahraga, Muhadjir Effendy menyampaikan bahwa… https://t.co/KkFWQ7WMuA",0,0,0,1,in,46693036,1640487755498270720,inilahdotcom,https://twitter.com/inilahdotcom/status/1640487755498270720
Mon Mar 27 22:54:12 +0000 2023,1640487411804426245,"Indonesia bakal batal jadi tuan rumah Piala Dunia U-20?",0,0,0,0,in,96558191,1640487411804426245,Henzdroid,https://twitter.com/Henzdroid/status/1640487411804426245
Mon Mar 27 22:52:03 +0000 2023,1640486871422873600,"Ada yang Dihapus dari Situs FIFA, Bagaimana Nasib Piala Dunia U-20 2023 di Indonesia? #PialaDuniaU-20 https://t.co/R4QKXqOv2g",0,0,0,0,in,79130206,1640486871422873600,jpnncom,https://twitter.com/jpnncom/status/1640486871422873600
Mon Mar 27 22:50:00 +0000 2023,1640486354172665862,"Drawing Batal, Shin Tae-yong Berharap Piala Dunia U-20 2023 di Indonesia Tidak Dibatalkan https://t.co/PLtJe4tqso",0,2,0,5,in,85537477,1640486354172665862,Bolanet,https://twitter.com/Bolanet/status/1640486354172665862
Mon Mar 27 22:48:24 +0000 2023,1640485950940758016,"FIFA Tetap Inspeksi ke Stadion-stadion Piala Dunia U-20 Meski Drawing Batal via @@viral_sumsel https://t.co/4SlNo6D5am",0,0,0,0,in,1202790304224432129,1640485950940758016,MubaTerkini,https://twitter.com/MubaTerkini/status/1640485950940758016
Mon Mar 27 22:48:18 +0000 2023,1640485929247965184,"FIFA Tetap Inspeksi ke Stadion-stadion Piala Dunia U-20 Meski Drawing Batal via @@viral_sumsel https://t.co/3PXGC2LrLe",0,0,0,0,in,235843152,1640485929247965184,editriono1000,https://twitter.com/editriono1000/status/1640485929247965184
